EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 13-05-2019
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

 01- 05 STAID  : Station identifier
 07- 12 SOUID  : Source identifier
 14- 53 SOUNAME: Source name
 55- 56 CN     : Country code (ISO3116 country codes)
 58- 66 LAT    : Latitude in degrees:minutes:seconds (+: North, -: South)
 68- 77 LON    : Longitude in degrees:minutes:seconds (+: East, -: West)
 79- 82 HGTH   : Station elevation in meters
 84- 87 ELEI   : Element identifier (see website at Daily Data > Data dictionary > Elements)
 89- 96 START  : Begin date YYYYMMDD
 98-105 STOP   : End date YYYYMMDD
107-111 PARID  : Participant identifier
113-163 PARNAME: Participant name

STAID, SOUID,SOUNAME                                 ,CN,      LAT,       LON,HGHT,ELEI,   START,    STOP,PARID,PARNAME
  264,901448,OKSOY LH                                ,NO,+58:04:00,+008:03:00,   8, DD4,19800101,20190430,    -,Synoptical message from GTS
  265,114641,BERGEN FLORIDA                          ,NO,+60:22:59,+005:19:59,  12, DD4,19570101,20190430,   22,Hans Olav Hygen                                   
  265,901317,BERGEN/FLORIDA                          ,NO,+60:22:59,+005:19:59,  36, DD4,19800101,20190430,    -,Synoptical message from GTS
  266,114635,BODOE VI                                ,NO,+67:16:01,+014:21:32,  11, DD4,19540101,20190430,   22,Hans Olav Hygen                                   
  266,114815,BODOE - VAGONES                         ,NO,+67:16:59,+014:28:00,  33, DD4,20020501,20051031,   22,Hans Olav Hygen                                   
  266,901152,BODO VI                                 ,NO,+67:16:00,+014:22:00,  13, DD4,19800101,20190430,    -,Synoptical message from GTS
  268,175572,VORU                                    ,EE,+57:50:45,+027:01:09,  82, DD4,19660101,20151231,   39,Kaupo Mandla                                      
  268,926249,VORU                                    ,EE,+57:51:00,+027:01:00,  83, DD4,19960815,20190430,    -,Synoptical message from GTS
  269,175573,VILSANDI                                ,EE,+58:22:59,+021:48:55,   6, DD4,19660101,20151231,   39,Kaupo Mandla                                      
  269,926214,VILSANDI                                ,EE,+58:22:59,+021:49:00,   6, DD4,19960816,20190430,    -,Synoptical message from GTS
  298,146953,ILULISSAT                               ,GL,+69:13:12,-051:06:00,  39, DD4,19610101,19920831,   45,Claus Kern-Hansen                                 
  298,147003,ILULISSAT MITTARFIK                     ,GL,+69:13:59,-051:04:00,  29, DD4,19910815,20171231,   45,Claus Kern-Hansen                                 
  299,147543,TASIILAQ                                ,GL,+65:35:59,-037:37:59,  50, DD4,19580101,20170804,   45,Claus Kern-Hansen                                 
  299,904360,TASIILAQ                                ,GL,+65:35:58,-037:37:59,  52, DD4,19800101,20190430,    -,Synoptical message from GTS
  306,146953,ILULISSAT                               ,GL,+69:13:12,-051:06:00,  39, DD4,19610101,19920831,   45,Claus Kern-Hansen                                 
  306,147003,ILULISSAT MITTARFIK                     ,GL,+69:13:59,-051:04:00,  29, DD4,19910815,20171231,   45,Claus Kern-Hansen                                 
  309,115606,ALICANTE EL ALTET                       ,ES,+38:16:58,-000:34:14,  43, DD5,19670101,20190430,   31,Antonio Mestre Barcelo                            
  309,908360,ALICANTE/EL ALTET                       ,ES,+38:16:59,-000:33:00,  31, DD4,19800101,20190430,    -,Synoptical message from GTS
  328,114632,TROMSO                                  ,NO,+69:39:14,+018:55:41, 100, DD4,19310101,20190430,   22,Hans Olav Hygen                                   
  328,901026,TROMSO                                  ,NO,+69:39:00,+018:55:59, 115, DD4,19960928,20190430,    -,Synoptical message from GTS
  329,114713,ONA                                     ,NO,+62:52:00,+006:33:00,  11, DD4,19510101,19630331,   22,Hans Olav Hygen                                   
  329,114716,ONA HUSOY                               ,NO,+62:52:00,+006:31:59,   8, DD4,19630501,19780630,   22,Hans Olav Hygen                                   
  329,114719,ONA II                                  ,NO,+62:51:34,+006:32:21,  13, DD4,19780901,20190430,   22,Hans Olav Hygen                                   
  329,901212,ONA II                                  ,NO,+62:52:00,+006:31:59,  15, DD4,19800101,20190430,    -,Synoptical message from GTS
  330,114647,FOKSTUA                                 ,NO,+62:07:00,+009:16:59, 952, DD4,19230201,19680531,   22,Hans Olav Hygen                                   
  330,114650,FOKSTUGU                                ,NO,+62:06:51,+009:17:13, 972, DD4,19680601,20190430,   22,Hans Olav Hygen                                   
  331,113551,TORUNGEN FYR                            ,NO,+58:22:59,+008:47:30,  12, DD4,19560101,20190430,   22,Hans Olav Hygen                                   
  331,901465,TORUNGEN LH                             ,NO,+58:24:00,+008:48:00,  15, DD4,19800101,20190430,    -,Synoptical message from GTS
  335,119887,BARCELONA -FABRA OBSERVATORY            ,ES,+41:25:05,+002:07:26, 412, DD5,19760601,20190331,   31,Antonio Mestre Barcelo                            
  335,155254,BARCELONA -FABRA OBSERVATORY            ,ES,+41:25:05,+002:07:26, 412, DD5,19820101,20140131,   63,Marc Prohom                                       
  336,119761,ALBACETE LOS LLANOS                     ,ES,+38:57:07,-001:51:47, 704, DD5,19600101,20190430,   31,Antonio Mestre Barcelo                            
  336,908280,ALBACETE/LOS LLANOS                     ,ES,+38:57:00,-001:51:00, 704, DD4,19800101,20190430,    -,Synoptical message from GTS
  337,120049,CORDOBA AEROPUERTO                      ,ES,+37:50:39,-004:50:45,  90, DD5,19590501,20190430,   31,Antonio Mestre Barcelo                            
  337,908410,CORDOBA/AEROPUERTO                      ,ES,+37:51:00,-004:51:00,  92, DD4,19800101,20190430,    -,Synoptical message from GTS
  339,158065,HAPARANDA                               ,SE,+65:49:37,+024:08:38,   5, DD4,19450607,20100730,   56,Marcus Flarup                                     
  339,161846,HAPARANDA_A                             ,SE,+65:49:11,+024:07:12,  16, DD4,20081101,20190430,   56,Marcus Flarup                                     
  339,902196,HAPARANDA                               ,SE,+65:49:59,+024:09:00,   6, DD4,19800101,20121231,    -,Synoptical message from GTS
  339,902197,HAPARANDA A                             ,SE,+65:49:00,+024:07:00,  15, DD4,20090609,20190430,    -,Synoptical message from GTS
  339,902740,TORNIO LIAKKA                           ,FI,+65:52:59,+024:16:00,   9, DD4,20080125,20081104,    -,Synoptical message from GTS
  341,158075,MALUNG                                  ,SE,+60:40:53,+013:41:58, 308, DD4,19500101,20100426,   56,Marcus Flarup                                     
  341,160563,MALUNG_A                                ,SE,+60:40:48,+013:42:36, 306, DD4,20091001,20190430,   56,Marcus Flarup                                     
