EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 13-05-2019
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

 01- 05 STAID  : Station identifier
 07- 12 SOUID  : Source identifier
 14- 53 SOUNAME: Source name
 55- 56 CN     : Country code (ISO3116 country codes)
 58- 66 LAT    : Latitude in degrees:minutes:seconds (+: North, -: South)
 68- 77 LON    : Longitude in degrees:minutes:seconds (+: East, -: West)
 79- 82 HGTH   : Station elevation in meters
 84- 87 ELEI   : Element identifier (see website at Daily Data > Data dictionary > Elements)
 89- 96 START  : Begin date YYYYMMDD
 98-105 STOP   : End date YYYYMMDD
107-111 PARID  : Participant identifier
113-163 PARNAME: Participant name

STAID, SOUID,SOUNAME                                 ,CN,      LAT,       LON,HGHT,ELEI,   START,    STOP,PARID,PARNAME
  231,115631,MALAGA AEROPUERTO                       ,ES,+36:40:00,-004:29:17,   7, FX1,19420501,20190430,   31,Antonio Mestre Barcelo                            
  231,908482,MALAGA/AEROPUERTO                       ,ES,+36:40:00,-004:28:59,   7, FX4,20000228,20140326,    -,Synoptical message from GTS
  232,115632,NAVACERRADA                             ,ES,+40:46:50,-004:00:37,1894, FX1,19670401,20190430,   31,Antonio Mestre Barcelo                            
  232,908215,NAVACERRADA                             ,ES,+40:46:59,-004:01:00,1888, FX4,20000228,20190425,    -,Synoptical message from GTS
  233,115633,SALAMANCA AEROPUERTO                    ,ES,+40:57:33,-005:29:53, 790, FX1,19610101,20190430,   31,Antonio Mestre Barcelo                            
  233,908202,SALAMANCA/MATACAN                       ,ES,+40:57:00,-005:30:00, 794, FX4,20000228,20190306,    -,Synoptical message from GTS
  234,115634,SAN SEBASTIAN - IGUELDO                 ,ES,+43:18:27,-002:02:21, 251, FX1,19390401,20190430,   31,Antonio Mestre Barcelo                            
  234,908027,SAN SEBASTIAN/IGUELDO                   ,ES,+43:18:00,-002:01:59, 259, FX4,20000228,20190424,    -,Synoptical message from GTS
  236,115635,TORTOSA - OBSERVATORIO DEL EBRO         ,ES,+40:49:14,+000:29:29,  44, FX1,19420101,20190430,   31,Antonio Mestre Barcelo                            
  236,155242,TORTOSA - OBSERVATORIO DEL EBRO         ,ES,+40:49:14,+000:29:29,  44, FX1,19420101,20131231,   63,Marc Prohom                                       
  237,115636,VALENCIA                                ,ES,+39:28:50,-000:21:59,  11, FX1,19450101,20120229,   31,Antonio Mestre Barcelo                            
  237,908285,VALENCIA                                ,ES,+39:28:59,-000:22:59,  11, FX4,20000228,20190430,    -,Synoptical message from GTS
  238,115637,ZARAGOZA AEROPUERTO                     ,ES,+41:39:42,-001:00:29, 247, FX1,19420510,20190430,   31,Antonio Mestre Barcelo                            
  238,908160,ZARAGOZA/AEROPUERTO                     ,ES,+41:40:00,-001:00:00, 258, FX4,20000228,20190311,    -,Synoptical message from GTS
  264,114696,OKSOEY FYR                              ,NO,+58:04:00,+008:03:02,   9, FX5,20001121,20190430,   22,Hans Olav Hygen                                   
  264,901448,OKSOY LH                                ,NO,+58:04:00,+008:03:00,   8, FX4,20000228,20190430,    -,Synoptical message from GTS
  265,114639,BERGEN FLORIDA                          ,NO,+60:22:59,+005:19:59,  12, FX5,19820101,20190430,   22,Hans Olav Hygen                                   
  265,901317,BERGEN/FLORIDA                          ,NO,+60:22:59,+005:19:59,  36, FX4,20000228,20190430,    -,Synoptical message from GTS
  266,114633,BODOE VI                                ,NO,+67:16:01,+014:21:32,  11, FX5,19820101,20190430,   22,Hans Olav Hygen                                   
  266,114813,BODOE - VAGONES                         ,NO,+67:16:59,+014:28:00,  33, FX5,20051002,20060130,   22,Hans Olav Hygen                                   
  266,901152,BODO VI                                 ,NO,+67:16:00,+014:22:00,  13, FX4,20000228,20190430,    -,Synoptical message from GTS
  268,115602,VORU                                    ,EE,+57:50:45,+027:01:09,  82, FX4,19700101,20151231,   39,Kaupo Mandla                                      
  268,926249,VORU                                    ,EE,+57:51:00,+027:01:00,  83, FX4,20000228,20190430,    -,Synoptical message from GTS
  269,115596,VILSANDI                                ,EE,+58:22:59,+021:48:55,   6, FX4,19700101,20151231,   39,Kaupo Mandla                                      
  269,926214,VILSANDI                                ,EE,+58:22:59,+021:49:00,   6, FX4,20000228,20190430,    -,Synoptical message from GTS
  309,115627,ALICANTE EL ALTET                       ,ES,+38:16:58,-000:34:14,  43, FX1,19670101,20190430,   31,Antonio Mestre Barcelo                            
  309,908360,ALICANTE/EL ALTET                       ,ES,+38:16:59,-000:33:00,  31, FX4,20000228,20190202,    -,Synoptical message from GTS
