EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 13-05-2019
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

 01- 05 STAID  : Station identifier
 07- 46 STANAME: Station name
 48- 49 CN     : Country code (ISO3116 countrycodes)
 51- 59 LAT    : Latitude in degrees:minutes:seconds (+: North, -: South)
 61- 70 LON    : Longitude in degrees:minutes:seconds (+: East, -: West)
 72- 76 HGTH   : Station elevation in meters

STAID,STANAME                                 ,CN,      LAT,       LON,HGHT
  489,WURZBURG                                ,DE,+49:46:17,+009:57:32,  268
  490,HOF                                     ,DE,+50:18:47,+011:52:39,  565
  491,SAARBRUCKEN/ENSHEIM                     ,DE,+49:12:51,+007:06:29,  320
  492,NURNBERG                                ,DE,+49:30:15,+011:03:24,  314
  493,STRAUBING                               ,DE,+48:49:42,+012:33:37,  351
  494,AUGSBURG                                ,DE,+48:25:35,+010:56:35,  461
  495,KONSTANZ                                ,DE,+47:40:41,+009:11:27,  443
  496,KEMPTEN                                 ,DE,+47:43:27,+010:20:11,  705
  500,NIEUW BEERTA                            ,NL,+53:11:39,+007:08:57,    0
  567,WILHELMINADORP                          ,NL,+51:31:32,+003:53:00,    1
  593,SCHIPHOL                                ,NL,+52:18:56,+004:47:25,   -3
  594,HOORN TERSCHELLING                      ,NL,+53:23:27,+005:20:44,    0
  596,STAVOREN                                ,NL,+52:53:48,+005:22:59,   -1
  597,LELYSTAD                                ,NL,+52:27:25,+005:31:10,   -3
  598,ROTTERDAM                               ,NL,+51:57:38,+004:26:48,   -4
  599,GILZE-RIJEN                             ,NL,+51:33:54,+004:56:07,   11
  600,ELL                                     ,NL,+51:11:48,+005:45:45,   30
