EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 13-05-2019
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

 01- 05 STAID  : Station identifier
 07- 46 STANAME: Station name
 48- 49 CN     : Country code (ISO3116 countrycodes)
 51- 59 LAT    : Latitude in degrees:minutes:seconds (+: North, -: South)
 61- 70 LON    : Longitude in degrees:minutes:seconds (+: East, -: West)
 72- 76 HGTH   : Station elevation in meters

STAID,STANAME                                 ,CN,      LAT,       LON,HGHT
11068,ROSES                                   ,ES,+42:16:14,+003:10:54,   24
11069,SABADELL-PARC AGRARI                    ,ES,+41:33:56,+002:04:09,  258
11070,SALORIA                                 ,ES,+42:31:09,+001:21:56, 2451
11071,SANT CUGAT DEL VALLES-CAR               ,ES,+41:28:59,+002:04:45,  158
11072,SANT PAU DE SEGURIES                    ,ES,+42:15:29,+002:21:51,  852
11073,SANT PERE PESCADOR                      ,ES,+42:10:37,+003:05:48,    4
11074,SANT ROMA DABELLA                       ,ES,+42:08:21,+001:02:20,  690
11075,SANT SALVADOR DE GUARDIOLA              ,ES,+41:40:26,+001:46:04,  349
11076,SANTUARI DE QUERALT                     ,ES,+42:06:25,+001:49:36, 1167
11077,SASSEUVA                                ,ES,+42:46:12,+000:43:54, 2228
11078,SOLSONA                                 ,ES,+41:59:16,+001:30:42,  691
11079,TARRAGONA-COMPLEX EDUCATIU              ,ES,+41:06:14,+001:12:03,    5
11080,TARREGA                                 ,ES,+41:40:00,+001:09:55,  427
11081,TORREDEMBARRA                           ,ES,+41:08:48,+001:25:05,    2
11082,ULLDEMOLINS                             ,ES,+41:19:12,+000:53:08,  687
11083,VALLIRANA                               ,ES,+41:22:54,+001:56:08,  252
11084,VIELHA E MIJARAN                        ,ES,+42:41:54,+000:47:38, 1002
11085,VILADRAU                                ,ES,+41:50:24,+002:25:06,  953
11086,VILANOVA DE MEIA                        ,ES,+41:59:44,+001:01:32,  594
11087,VILA-RODONA                             ,ES,+41:18:25,+001:21:45,  287
11088,VINEBRE                                 ,ES,+41:11:06,+000:35:36,   53
11095,NARVIK-FAGERNESFJELLET                  ,NO,+68:25:15,+017:28:49, 1000
11099,NOTODDEN FLYPLASS                       ,NO,+59:34:00,+009:12:38,   20
11346,PANTA DE DARNIUS - BOADELLA             ,ES,+42:20:31,+002:50:03,  158
11347,PUIGCERDA                               ,ES,+42:26:25,+001:56:04, 1213
11348,TIVISSA                                 ,ES,+41:02:35,+000:44:25,  316
11349,HELTERMAA                               ,EE,+58:51:51,+023:02:36,    4
11350,JOHVI                                   ,EE,+59:19:44,+027:23:53,   73
11351,JOGEVA                                  ,EE,+58:44:58,+026:24:54,   70
11352,KARDLA                                  ,EE,+58:59:35,+024:49:18,    3
11353,KURESSAARE                              ,EE,+58:13:05,+022:30:23,    1
11354,KUNDA                                   ,EE,+59:31:17,+026:32:29,    3
11355,KIHNU                                   ,EE,+58:05:54,+023:58:13,    3
11356,KUUSIKU                                 ,EE,+58:58:23,+024:44:02,   53
11357,NARVA                                   ,EE,+59:23:21,+028:06:46,   28
11358,LAANE-NIGULA                            ,EE,+58:57:03,+023:48:56,   24
11359,PARNU                                   ,EE,+58:25:10,+024:28:10,   12
11360,PAKRI                                   ,EE,+59:23:21,+024:02:24,   23
11361,RUHNU                                   ,EE,+57:46:59,+023:15:32,    2
11362,RISTNA                                  ,EE,+58:55:14,+022:03:59,    7
11363,TALLINN                                 ,EE,+59:23:53,+024:36:10,   33
11364,SORVE                                   ,EE,+57:54:48,+022:03:28,    3
11365,TIIRIKOJA                               ,EE,+58:51:55,+026:57:07,   32
11366,TARTU                                   ,EE,+58:18:00,+026:43:59,   58
11367,TARTU-TORAVERE                          ,EE,+58:15:50,+026:27:41,   70
11368,TOOMA                                   ,EE,+58:52:27,+026:16:19,   89
11369,VAIKE-MAARJA                            ,EE,+59:08:29,+026:13:50,  121
11370,TURI                                    ,EE,+58:48:30,+025:24:33,   60
11371,VILJANDI                                ,EE,+58:22:40,+025:36:01,   86
11372,VALGA                                   ,EE,+57:47:24,+026:02:16,   65
11373,VIRTSU                                  ,EE,+58:34:22,+023:30:48,    2
11382,OLOT                                    ,ES,+42:11:17,+002:28:49,  433
11383,LA POBLA DE SEGUR                       ,ES,+42:14:38,+000:58:05,  508
11385,LES BORGES BLANQUES                     ,ES,+41:30:38,+000:51:23,  283
11386,MASSOTERES                              ,ES,+41:47:35,+001:18:20,  513
11387,STORHOFDI                               ,IS,+63:23:58,-020:17:17,  118
11388,STORHOFDI (AWS)                         ,IS,+63:23:57,-020:17:17,  118
11389,TEIGARHORN (AWS)                        ,IS,+64:40:32,-014:20:38,   20
11733,ANDERNACH                               ,DE,+50:25:24,+007:25:12,    7
11740,BERLIN-OSTKREUZ                         ,DE,+52:30:00,+013:28:00,    3
11742,COLLMBERG                               ,DE,+51:18:14,+013:00:33,   31
11748,GREIFSWALD-WIECK                        ,DE,+54:06:00,+013:27:00,    0
11752,GUENZBURG                               ,DE,+48:29:16,+010:15:38,   44
11776,NEUGLOBSOW (HM)                         ,DE,+53:08:31,+013:01:54,    6
11778,BALINGEN-BRONNHAUPTEN                   ,DE,+48:15:50,+008:48:47,   61
11779,SCHAUENBURG-ELGERSHAUSEN                ,DE,+51:16:59,+009:21:32,   31
11780,ULM-MAEHRINGEN                          ,DE,+48:26:30,+009:55:17,   59
16319,MONT-ROIG DEL CAMP                      ,ES,+41:01:08,+000:56:00,   42
16320,TIRVIA                                  ,ES,+42:31:04,+001:14:27,  954
16321,PUJALT                                  ,ES,+41:42:57,+001:25:22,  747
16617,LLEIDA - LA FEMOSA                      ,ES,+41:35:04,+000:19:14,  170
