EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 13-05-2019
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

 01- 05 STAID  : Station identifier
 07- 12 SOUID  : Source identifier
 14- 53 SOUNAME: Source name
 55- 56 CN     : Country code (ISO3116 country codes)
 58- 66 LAT    : Latitude in degrees:minutes:seconds (+: North, -: South)
 68- 77 LON    : Longitude in degrees:minutes:seconds (+: East, -: West)
 79- 82 HGTH   : Station elevation in meters
 84- 87 ELEI   : Element identifier (see website at Daily Data > Data dictionary > Elements)
 89- 96 START  : Begin date YYYYMMDD
 98-105 STOP   : End date YYYYMMDD
107-111 PARID  : Participant identifier
113-163 PARNAME: Participant name

STAID, SOUID,SOUNAME                                 ,CN,      LAT,       LON,HGHT,ELEI,   START,    STOP,PARID,PARNAME
  160,906235,DE KOOIJ                                ,NL,+52:55:59,+004:46:59,   2, FG5,19800101,20190430,    -,Synoptical message from GTS
  161,113489,TEXELHORS_MM                            ,NL,+52:59:42,+004:43:12,   1, FG1,19710101,20190430,   19,Ge Verver                                         
  161,113571,DE KOOY                                 ,NL,+52:55:36,+004:46:51,   1, FG1,19060101,20190430,   19,Ge Verver                                         
  161,906235,DE KOOIJ                                ,NL,+52:55:59,+004:46:59,   2, FG5,19800101,20190430,    -,Synoptical message from GTS
  162,113586,DE BILT                                 ,NL,+52:05:56,+005:10:46,   2, FG1,19040101,20190430,   19,Ge Verver                                         
  162,906260,DE BILT                                 ,NL,+52:06:00,+005:10:59,   4, FG5,19800101,20190430,    -,Synoptical message from GTS
  163,113613,EELDE                                   ,NL,+53:07:24,+006:35:04,   5, FG1,19520201,20190430,   19,Ge Verver                                         
  163,115792,GRONINGEN                               ,NL,+53:13:00,+006:33:00,   2, FG1,19060301,19520131,   19,Ge Verver                                         
  163,906280,EELDE/GRONINGEN AP EELDE                ,NL,+53:07:00,+006:34:59,   4, FG5,19800101,20190430,    -,Synoptical message from GTS
  164,113613,EELDE                                   ,NL,+53:07:24,+006:35:04,   5, FG1,19520201,20190430,   19,Ge Verver                                         
  164,115792,GRONINGEN                               ,NL,+53:13:00,+006:33:00,   2, FG1,19060301,19520131,   19,Ge Verver                                         
  164,906280,EELDE/GRONINGEN AP EELDE                ,NL,+53:07:00,+006:34:59,   4, FG5,19800101,20190430,    -,Synoptical message from GTS
  166,113625,VLISSINGEN                              ,NL,+51:26:29,+003:35:44,   8, FG1,19080401,20190430,   19,Ge Verver                                         
  166,906310,VLISSINGEN                              ,NL,+51:27:00,+003:36:00,  10, FG5,19800101,20190430,    -,Synoptical message from GTS
  167,115797,MAASTRICHT-1                            ,NL,+50:51:00,+005:40:59,  49, FG1,19060101,19521231,   19,Ge Verver                                         
